23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
,,0.7659678055856549,,,,,,,,,,,,,,,,,,,,,0.2340321944143452,,,,,
,,0.548881062288961,,,,,,,,0.4511189377110389,,,,,,,,,,,,,,,,,,
,,0.8999693489910834,,,,0.1000306510089165,,,,,,,,,,,,,,,,,,,,,,
,,0.48937695684598,,,,,,,,0.51062304315402,,,,,,,,,,,,,,,,,,
,0.1081077789107613,0.8505834836863891,,,,0.0182896862031043,,,,,,,,,,0.0092198556205574,,,,,,,0.007206646035594,,,,,0.0065925495435937
0.0147024054586655,0.0254760659800157,0.6311951163444737,0.064705772592872,,0.0663465663208037,0.0430674765952508,,,0.1335231963647773,0.0037181190741538,,,,,,0.0096835779353582,,,,,,,0.0063089018796279,,,,,0.0012728014540008
0.0321642690349585,0.0885935127412685,0.3665275006559981,0.0222796692111469,0.2092867065560756,0.0355294435168715,0.0193970521614634,,,0.1763322081155914,0.0095798136077184,,,0.0015457024117822,0.0050574793511394,,0.0092653406794452,,,,,,,0.0177614731930155,,0.0008553454809602,,,0.0058244832825645
,,0.6082353553938958,0.0431797257141568,,,0.2497610539259658,0.0032788736263481,,0.0386769698153808,,,,,0.0073783534495797,,0.0172678180510447,,0.0028937250175016,,,,,0.0119892821971047,0.0018281144618434,0.0134215885719296,,,0.0020891397752484
,,0.7802501371218241,,,,0.2197498628781759,,,,,,,,,,,,,,,,,,,,,,
,0.0711078844193545,0.5052686674097022,,,,0.1131281423094686,,,0.2307033963025879,0.0084290578189171,,,,,,0.020950931251167,,,,,,,0.0444695755656082,,,,,0.0059423449231943
,,0.4934187815891866,,,,,,,0.4789740465475108,,,,,,,,,,,,,,0.0190255819392104,,,,,0.008581589924092
,,0.476100216583218,,,,0.2155118891031288,,,,0.1378606865275256,,,,,,,,,,,,,0.1135901872332237,,,,,0.0569370205529036
,0.5303114291807078,0.2946430721121996,,,,,,,,,,,,,,0.05664795906315,,,,,,,0.1183975396439426,,,,,
0.036058485217474,0.0727684745913945,0.3855943524931801,,,0.13408889816142,0.0098157240282155,,,0.1774429834199167,0.0080671798544401,,,,,,0.0380226326337773,,,,,,,0.1365950953807755,,0.0004351690237155,,,0.00111100519569
,,0.4340242104506458,,,,0.2293056398842307,,,,0.3366701496651234,,,,,,,,,,,,,,,,,,
0.1347205521146844,,,0.4129917484247413,,,0.0421464029039426,0.0102120790819548,,0.3369312615921387,,,,,0.0437222757502602,,,,,,,,,,,,,,0.0192756801322776
,,0.0498135895505806,0.5875469712349506,,,0.020799802102093,,,0.3342869169008673,,,,,,,,,,,,,,,,,,,0.0075527202115083
,,,,,,0.4886238194840516,,,,,,,,,,,0.5113761805159485,,,,,,,,,,,
,,0.9693821023973092,,,,0.0306178976026907,,,,,,,,,,,,,,,,,,,,,,
,,0.8179727212084402,,,,,,,,,,,,,,,0.0516475830395838,,,,,,0.0943221086734264,,,,,0.0360575870785493
,,0.7124056865040824,,,,0.2453849637547203,,,,,,,,,,,,,,,,,0.0223515993702966,,,,,0.0198577503709006
,0.1333239484735983,0.7057523801449772,,,,0.0459080284264513,,,,,,,,,,0.0506791514457423,,,,,,,0.0643364915092308,,,,,
0.6714677970489216,,0.3285322029510784,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.670786030975796,,,,,,,,0.3292139690242039,,,,,,,,,,,,,,,,,,
,,0.6224342298560911,0.377565770143909,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.1260059248430896,,,,0.8739940751569104,,,,,,,,,,,,,,,,,,,,,,
0.1327146213152178,0.1004936747146282,0.2536782407471595,,,,0.0177436373825863,,,0.4178416786868586,0.0268652801467192,,,,,,0.0043283605593947,,,,,,,0.0394423286497948,,0.0017145997440711,,,0.0051775780535693
,,0.6420824790216286,,,,0.0220598200229765,,,0.3142429753297972,0.0150602427801194,,,,,,,,,,,,,0.0065544828454781,,,,,
,,0.6841310116992083,,,,0.3158689883007917,,,,,,,,,,,,,,,,,,,,,,
,,0.1770863913552846,,,,,,,0.8229136086447154,,,,,,,,,,,,,,,,,,,
,,0.5315303737795263,,,,0.4684696262204738,,,,,,,,,,,,,,,,,,,,,,
,0.0805651915102443,0.7707947930946671,,,,0.0366968595929507,,,0.0917080539277934,0.0025306611329969,,,,,,0.0042998821599865,,,,,,,0.0097041960784624,,0.0011486217627242,,,0.0025517407401741
,0.0914786259969076,0.6414398724004546,,,,0.1231680692476667,,,,0.0104519885113405,,,,,,0.0401395670029263,,,,,,,0.0893778748515625,,,,,0.0039440019891415
,,0.8037258570701719,,,,,,,,,,,,,,,,,,,,,0.1962741429298281,,,,,
,,0.9734563459990055,,,,,,,,,,,,,,,,,,,,,0.0265436540009943,,,,,
0.0524788613267441,,0.0315617952152884,0.5826848796849345,,,0.0645837418981721,0.0049923769297422,0.0069353867799333,0.2043362761458598,0.0029927118401256,0.0044949074860412,,,0.0279108939211638,,,,,,,,,,,0.0014336014521475,,,0.015594567319847
,,0.2917848308424911,,,,0.2289756155834212,,,,0.3805863467600957,,,,,,,,,,,,,,,0.098653206813992,,,
,0.0502783135378225,0.763692227423882,,,,0.0265400414551744,,,0.0976837117578069,0.0036500165423838,,,,,,0.0034439206799783,,,,,,,0.05153688606438,,0.001293696235905,,,0.0018811863026667
,0.0248473622578784,0.3604188687629371,,,0.1461909898694349,0.0204496827536006,,,0.118976058856402,,,,,,,0.2797384878682784,,,,,,,0.0215328536365349,0.0118659494121228,0.0159797465828104,,,
