23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
,,,,,,,,,,0.9092492582364704,,,,,,,,,,,,,0.0907507417635294,,,,,
,,0.2330627286684841,,,,0.2332394420578832,,,,0.1182214904478231,,,,,,,0.082543415536079,,,,,,,,,,,0.3329329232897304
,,0.2874031001257549,,,,,,,,,,,,0.7125968998742451,,,,,,,,,,,,,,
,0.56281736443741,0.4371826355625898,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.8557701127540958,,,,,,,0.1324016357859577,0.0041733515804873,,,,,,,,,,,,,,,,,,0.0076548998794591
,,,,,,,,,,,,,,0.5004746283851212,,,,,,,,,,,,,,0.4995253716148788
,0.0271833874276847,0.8491934004922969,,,0.0235055348588982,0.0622816562585885,,0.0027713414560589,0.0190039281674144,0.0047322314360292,,,0.0064125098835324,0.0047413963113423,,,,,,,,,,,0.000174613708154,,,
,,0.5971965565913702,,,,,,,,,,,,,,,,,,,,,,,,,,0.4028034434086299
,,0.7299771015718558,,,,0.2700228984281441,,,,,,,,,,,,,,,,,,,,,,
,,0.7826115441089119,,,,,,,,,,,,,,,,,,,,,0.0343837431428121,,,,,0.1830047127482758
,0.1208216267693964,0.8519792833496093,,,,,,,,,,,,,,,,,,,,,0.014262786369517,,,,,0.0129363035114771
,,0.9787602048802246,,,,,,,,,,,,,,,,,,,,,,,,,,0.0212397951197752
,,,,,,,,,,,,,,0.8407618070034103,,,,,,,,,,,,,,0.1592381929965896
,,0.2958442400808986,,,,,,,0.6213744558340846,,,,,,,,,,,,,,,,,,,0.0827813040850168
,,,,,,,,,,,,,,0.8031562189031766,,,,,,,,,,,,,,0.1968437810968235
,,,,,,,,,,,,,,0.7420932717050195,,,,,,,,,,,,,,0.2579067282949805
0.6403627081696832,,0.3412891026124194,,,,,,,,0.0183481892178973,,,,,,,,,,,,,,,,,,
,,0.6590064139681096,,,,,,,,0.3409935860318904,,,,,,,,,,,,,,,,,,
,,0.6895866399024906,,,,,,,,0.3104133600975094,,,,,,,,,,,,,,,,,,
,,0.597336663677273,,,,0.3317968501677758,,,,,,,,,,,,,,,,,,,,,,0.0708664861549513
,,,,,,,,,,0.99367578347639,,,,,,,,,,,,,,,,,,0.0063242165236099
,,,,,,,,,,,,,,,,0.2160942801749728,,,,,,,0.1024349789394151,0.2164670110988644,0.4650037297867476,,,
,,0.9110170211834098,,,,0.0889829788165902,,,,,,,,,,,,,,,,,,,,,,
,,0.9725444653444628,,,,,,,,,,,,,,,,,,,,,,,,,,0.0274555346555372
,,0.5644914767538564,,,,0.3394436056500109,,,,,,,,,,,,,,,,,,,,,,0.0960649175961327
,,0.6461866368375289,,,,,,,,,,,,,,,0.353813363162471,,,,,,,,,,,
,,0.8930654108984477,,,,,,,,,,,,,,,,,,,,,,,,,,0.1069345891015523
,,0.9605052349243984,,,,,,,,,,,,,,,,,,,,,,,,,,0.0394947650756017
,,0.8447985217619366,,,,,,,,,,,,,,,,,,,,,,,,,,0.1552014782380633
