23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,0.7659678055856549,,,,,,,,,,,,,,,,,,,,,0.2340321944143452,,,,,,8388612
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,0.548881062288961,,,,,,,,0.4511189377110389,,,,,,,,,,,,,,,,,,,1028
,,0.8999693489910834,,,,0.10003065100891657,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,0.48937695684598,,,,,,,,0.51062304315402,,,,,,,,,,,,,,,,,,,1028
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,0.10810777891076134,0.8505834836863891,,,,0.01828968620310438,,,,,,,,,,0.009219855620557429,,,,,,,0.007206646035594056,,,,,0.00659254954359372,276889670
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.014702405458665533,0.025476065980015724,0.6311951163444737,0.064705772592872,,0.06634656632080378,0.043067476595250856,,,0.13352319636477736,0.0037181190741538838,,,,,,0.009683577935358262,,,,,,,0.006308901879627955,,,,,0.001272801454000872,276891247
0.03216426903495853,0.08859351274126859,0.36652750065599815,0.02227966921114694,0.20928670655607565,0.03552944351687155,0.019397052161463427,,,0.17633220811559144,0.009579813607718436,,,0.0015457024117822129,0.00505747935113949,,0.009265340679445235,,,,,,,0.017761473193015527,,0.0008553454809602617,,,0.005824483282564559,310470271
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
