23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,,,8.028158852908529e-16,,,,,,,,,,,,,,,,,4096
,,2.7917585504354447e-16,,,,,,,,,,,,,,,,,,,,,8.529880434515938e-17,,,,,,8388612
,,,,,,,,,,,,7.819598678403233e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,6.066525027574392e-16,,,,,,,,,,,,,,,16384
,,,,,,,,4.0323024974151365e-16,,,,,,,,,,,,,,,,,,,,,256
,9.940385054237303e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,5.411240544681029e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.9602982251078206e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,7.284595351156291e-16,,,,,,,,,,,,,,,,,4096
,,3.917538477531218e-16,,,,,,,,3.21977914314634e-16,,,,,,,,,,,,,,,,,,,1028
,,5.165625743308365e-15,,,,5.741538937418566e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,9.043757586643594e-16,,,,,,,,,,,,,,,,,4096
,,,,,,2.3953462852580216e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,2.9411102678505616e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,6.548922856821545e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,5.2641281988812905e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,3.518930173485023e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,2.9364118442154403e-16,,,,,,,,3.0638948787257612e-16,,,,,,,,,,,,,,,,,,,1028
,,,,,,,,,,,,7.728920024863887e-16,,,,,,,,,,,,,,,,,4096
,,,5.1984568379337124e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,4.8608494709663e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,1.5294831882288088e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,8.001835348124746e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,1.1750826816386241e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,1.1890338015475045e-15,9.355224233919325e-15,,,,2.011608723655258e-16,,,,,,,,,,1.0140546858593602e-16,,,,,,,7.926298938379795e-17,,,,,7.250879006755003e-17,276889670
,,2.5433323129628813e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,4.7597226235300706e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
2.2724551476599423e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.7615150892156072e-15,3.052321932204645e-15,7.562434084720918e-14,7.75248615623767e-15,,7.949071872647678e-15,5.15997263782849e-15,,,1.599759480298009e-14,4.454728766007585e-16,,,,,,1.1602025735642545e-15,,,,,,,7.558780696525591e-16,,,,,1.5249606420537403e-16,276891247
8.279871348243316e-15,2.2806142026401707e-14,9.435316399469187e-14,5.735333035214183e-15,5.387552887642022e-14,9.146149756260215e-15,4.993276740022429e-15,,,4.539223310692735e-14,2.466078869252362e-15,,,3.9790169328319186e-16,1.301919167767154e-15,,2.385125828293233e-15,,,,,,,4.572238617753204e-15,,2.2018689536997897e-16,,,1.4993647826167872e-15,310470271
,,,,,,,,,,,,7.538495581066476e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,6.803999944668181e-16,,,,,,,,,,,,,,,,,4096
,,1.1807429872679378e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,8.992980812989502e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.246228261003023e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.428655083978427e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,5.541642679769046e-16,,,,,,,,,,,,,,,16384
,,2.4584272231568144e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.6948852547297725e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,7.184849560898227e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,3.0977969128131234e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,2.1129155445098505e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,2.4835843616721496e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,8.323173263434629e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.589208481889019e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.7949031927498646e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.394350471577672e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,4.733392371721761e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,3.2603094972340143e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,8.30268117739631e-14,5.894223227123889e-15,,,3.4093486721679516e-14,4.475807283993244e-16,,5.279577164285813e-15,,,,,1.007177826194114e-15,,2.357133412842587e-15,,3.9500624260509784e-16,,,,,1.6365899605413393e-15,2.4954569638004507e-16,1.8321061052880096e-15,,,2.85176804259797e-16,327500492
,,8.93008796670116e-16,,,,2.5150724271724576e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,3.703703052834051e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,9.873478639560725e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.106210998232144e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,3.2328411376709476e-16,,,,,,,,,,,,,,,,,,,,,256
,,2.514383139638699e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.295626733791877e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,7.109664036653895e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,7.9279971212939e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,7.232346693766356e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.824483644136679e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
