23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,0.9092492582364705,,,,,,,,,,,,,0.09075074176352947,,,,,,8389632
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,0.23306272866848413,,,,0.23323944205788325,,,,0.11822149044782311,,,,,,,0.08254341553607901,,,,,,,,,,,0.33293292328973045,268567620
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,0.28740310012575493,,,,,,,,,,,,0.7125968998742451,,,,,,,,,,,,,,,16388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,0.56281736443741,0.43718263556258985,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
