23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446707636395102e-16,268435456
,,,,,,,,,,1.8942123083538268e-15,,,,,,,,,,,,,1.890583582923424e-16,,,,,,8389632
,,2.9611176640033847e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.951683737060136e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.5074910805699425e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.131954455625814e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0432710642708932e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.529891251563334e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.186724948095283e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.572941542296133e-17,268435456
,,4.67808908279361e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,3.118683493964691e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.700857083949e-17,268435456
,,,5.454480408414209e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,2.507773041566519e-15,,,,,,,,,,,,,,,,,,,,512
,,3.998847606295485e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,6.269274556323985e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,3.115204884726632e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,3.043058823535761e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.373675566228535e-17,268435456
1.8244410953578888e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,3.086903103896878e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.545443460837194e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.960393467042498e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.976378252790098e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.623213482475162e-16,268435456
,,2.6403649059824207e-16,,,,2.6423668898880085e-16,,,,1.3393298718105083e-16,,,,,,,9.351333816716731e-17,,,,,,,,,,,3.771793163679771e-16,268567620
,,,,,,2.246349822025011e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2085839039453113e-16,268435456
