23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,0.0562993345948273,,,,0.9437006654051726,,,,,,,,,,,,,,,17408
,0.167935136975169,,,,,,,,,0.11584917567078645,,,,0.7162156873540445,,,,,,,,,,,,,,,17410
,,,,,,,,,,0.7239246589234618,,,,0.27607534107653814,,,,,,,,,,,,,,,17408
,,,,,,,,,,0.12306621895994584,,,,0.8769337810400543,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,0.08600396209652807,,,,,,,0.010223288554961182,0.2931623454852567,0.1563511826456983,,,,0.45267734782368374,,,,,,,,,,,,,,0.0015818733938719146,268453634
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,268435456
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,0.9519441311414788,0.04805586885852115,,,,,,,,,,,,,,,,,,,1536
,,0.43879512469301923,,,,0.5612048753069807,,,,,,,,,,,,,,,,,,,,,,,68
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,0.972725157403741,,,,,,,,,,,,,,0.02727484259625905,268451840
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1048576
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,0.17862858389256317,,,,,,,,0.40358107188195347,0.13269307044609635,,,,0.285097273779387,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,0.22394432828848615,0.7760556717115138,,,,,,,,,,,,,,,,,,,,768
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,,,,,,,,,0.9009007826398083,0.09909921736019175,,,,,,,,,,,,,,,,,,,1536
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16
