23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,1.1066777771753329e-16,,,,1.855035343180476e-15,,,,,,,,,,,,,,,17408
,1.6573499975166704e-15,,,,,,,,,1.1433142251741865e-15,,,,7.068324646277804e-15,,,,,,,,,,,,,,,17410
,,,,,,,,,,2.2873313233430712e-15,,,,8.722948824343771e-16,,,,,,,,,,,,,,,17408
,,,,,,,,,,4.530934607943404e-16,,,,3.2286111095053945e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,3.977173521598206e-15,,,,,,,,,,,,,,,16384
,5.626815134851272e-15,,,,,,,6.688593567868847e-16,1.9180166614806836e-14,1.0229286877217326e-14,,,,2.9616446613003937e-14,,,,,,,,,,,,,,1.0349417558306145e-16,268453634
,,,,,4.825257257823335e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,3.2370955472761527e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3125435743765606e-17,268435456
,,,6.350969249983655e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,2.562781815396153e-15,1.293738810974156e-16,,,,,,,,,,,,,,,,,,,1536
,,2.9445828317874743e-16,,,,3.7660268948987605e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,2.3596806247218557e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,2.2846311095096567e-15,,,,,,,,,,,,,,6.406018537518798e-17,268451840
,8.237737888208493e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,4.718328735924405e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,6.065734642481499e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,3.669587070292615e-16,,,,,,,,,1048576
,,,,,,,,,,,,,,1.4488574985122988e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,,,1.3608388521916775e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,2.667157120376745e-15,,,,,,,,,,,,,,,,,,,,512
,1.2103433129016318e-15,,,,,,,,2.7345659967823978e-15,8.990955813623527e-16,,,,1.9317489470381054e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,8.535918623833166e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.397661700313335e-16,,,,,,,,,,,,,,,,,,,1024
,,,5.464349091841695e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,8.363629910743611e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,1.0440166704983425e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.0418162065003708e-15,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,7.40162691885944e-16,2.5649564756442237e-15,,,,,,,,,,,,,,,,,,,,768
,,,,,,,,,,,,,,9.183230187943568e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,3.734827239447987e-15,4.1083154053913075e-16,,,,,,,,,,,,,,,,,,,1536
,,,,,,,,,,,,8.871429641928756e-16,,,,,,,,,,,,,,,,,4096
,,,,5.3518905659691764e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,1.3387721233309136e-16,,,,2.153814246266361e-15,,,,,,,,,,,,,,,17408
,,,,4.6482152509251504e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,8.381765641451497e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,8.626597277372515e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,5.9832407246528314e-15,9.120859181738779e-16,,,,7.783779118851761e-15,,,,,,,,,,,,,,,17920
,3.407746268951345e-15,,,,,,,,1.5748835802130944e-14,4.003616785126521e-15,,,1.9787897727904098e-16,1.8366205717734253e-14,,,,,,,,,,,,,,6.242428124582968e-17,268461570
,,,,,,,,,,3.7359252490925034e-16,,,,2.717456925049118e-15,,,,,,,,,,,,,,,17408
,7.439511403883902e-16,,,,,,,,,5.693138389196582e-16,,,,3.1187896959018743e-15,,,,,,,,,,,,,,,17410
,,,,,4.8956735299546195e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,2.841115612555773e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,,1.3127913662020152e-16,,,,,,,,,,,,,,,,,,,1024
,,3.0294881742767323e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.418407312952009e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,1.035612219512568e-14,3.670107331032633e-16,,,,5.110111270622238e-15,,,,,,,,,,,,,,8.974260667805178e-16,268453376
,,,,,,5.987154328197537e-15,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,1.1182041319008925e-14,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,4.88254043689192e-16,,,,1.5877493550083313e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,9.225075662097004e-16,,,,,,,,,,,,,,,,,4096
,,,5.588658798673794e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,9.932367702433505e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,1.7532890526026571e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,2.7084721705372514e-15,1.235459143446316e-15,,,,1.9325563944541807e-15,,,,,,,,,,,,,,,17920
,,,,,,,,,,,,9.605925278327065e-16,,,,,,,,,,,,,,,,,4096
,,,,4.3532612969571055e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,8.354562045389685e-16,,,,,,,,,,,,,,,,,4096
,4.0634320642111614e-15,,,,,,,,1.4874694370194905e-14,3.568006856068916e-15,,,,5.198129527623965e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,6.043011750140581e-16,,,,1.393946791710545e-15,,,,,,,,,,,,,,,17408
,1.1932385218430683e-15,,,,,,,,3.015074104734805e-15,8.4869300995578e-16,,,,1.1873013113593859e-14,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.168019174351809e-17,,134217728
,,,,,,,,2.955972790110152e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,2.545386105960365e-15,7.342047101410055e-16,,,,3.5241599633809987e-15,,,,,,,,,,,,,,,17920
,,,,6.240965383463267e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,1.7063839029257415e-15,,,,,,,,1.3739614675807438e-14,3.0161766045565776e-15,,,,7.770858922010639e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,8.563122219894967e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,8.572190085248906e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,6.566006886016401e-15,,,,2.7675225580354508e-15,,,,,,,,,,,,,,1.902833956566677e-16,268452864
2.2660240611881647e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2.417167947430533e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,8.62604734803543e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,9.15203636864627e-16,,,,1.7500590033923767e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,3.8190633935521674e-16,,,,,,,,,,,,,,,,,,,1024
,,,5.7584171088798695e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.2004474254784785e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,8.914745592712091e-16,,,,4.916308318005558e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,9.126704326763696e-16,,,,,,,,,,,,,,7.654474893223481e-17,268451840
,,,,,,,,,,1.1413187170923217e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,8.690072334850064e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,1.0131860011584856e-15,,,,,,,,,,,,,,,,,4096
,7.975463020329309e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,2.4288625029558403e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,3.9714835570221943e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,2.4910239679496386e-15,5.613464345687468e-16,,,,,,,,,,,,,,,,,,,1536
,,,6.320458182426743e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,9.542450220849517e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,7.435577548721258e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,8.554054354541036e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,8.819850300652123e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,3.335822285189547e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,8.577596609881261e-16,,,,,,,,,,,,,,,16384
1.8089060182301475e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,8.617972225009727e-16,,,,,,,,,,,,,,,16384
,,,,4.408038522716099e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,2.942647523187637e-16,,,,,,,,,,,,,,,,,,,1024
,9.03596391438705e-16,,,,,,,,4.032731231563826e-15,1.9190981438554566e-15,,,,2.3871849772765407e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,9.908941173747116e-16,,,,1.4948856348722758e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,1.1869618414801716e-15,,,,5.42988536380197e-15,,,,,,,,,,,,,,,17408
1.8103804771324705e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.0204402934416333e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,6.524520947204348e-16,,,,1.2082193514384607e-15,,,,,,,,,,,,,,,17408
,8.807898811883403e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.2344415514768903e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,1.1008204098561634e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,1.0530845358522772e-15,,,,,,,,,,,,,,,,,4096
,,2.403705364440505e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.564455892895633e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,1.178399043298129e-16,,,,,,,,,,,,131072
,1.3996369814628147e-15,,,,,,,,2.943316257288291e-15,2.5312035848951374e-15,,,,1.746828954182096e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,2.7302170257415405e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,2.682378344292101e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,,,,,,8.795624931575031e-16,,,,,,,,,,,,,,,16384
,1.2035013598265227e-15,,,,,,,,4.14362981837808e-15,1.233553874005888e-15,,,,5.5219416365219245e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,2.562781815396153e-15,7.125540931178982e-16,,,,2.996048085457245e-15,,,,,,,,,,,,,,5.493354449529903e-17,268453376
,,,,,,,,,,,,1.0539913223876715e-15,,,,,,,,,,,,,,,,,4096
,1.082627130387222e-15,,,,,,,,2.390997983465195e-15,1.0445874872607883e-15,,,,9.142854572815087e-16,,,,,,,,,,,,,,,17922
,7.485124424384628e-16,,,,,,,,,9.744396796126669e-16,,,,9.691960991967824e-16,,,,,,,,,,,,,,5.682775382829808e-17,268452866
,,,,4.205784489263266e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,1.0295081587955681e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.7284826452059018e-16,,,,3.3045171361739596e-15,,,,,,,,,,,,,,1.0108336622051279e-16,268452864
,,,,,,,,3.1585390188838754e-16,,,,,,,,,,,,,,,,,,,,,256
,,,6.407864584485904e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,4.425279946481811e-16,,,,,,,,,,,,,,,,,,,1024
,,,,4.610292556168924e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,2.9495757250886533e-16,,,,1.3259508557668063e-14,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,,,,,,,3.9557459964345967e-16,,,,,,,,,1048576
,3.1808217668478546e-15,,,,,,,,1.6031518570331405e-14,9.563314596808851e-15,,,,1.2579585405044933e-14,,,,,,,,,,,,,,8.834050091906912e-17,268453378
,,,,,,,,,,,,,2.463176882632383e-16,,,,,,,,,,,,,,,,8192
,,,,,,,,,,,,8.42710496822116e-16,,,,,,,,,,,,,,,,,4096
,1.1031529896125502e-15,,,,,,,,4.717692947405451e-15,3.114903453811117e-15,,,,9.950364928790078e-16,,,,,,,,,,,,,,,17922
